అ, [ʌ]
ౠ, [riː/ruː]
క, [aː]
ఎ, [e]
కా, [i]
ఏ, [eː]
కి, [iː]
ఐ, [aj]
కీ, [u]
ఒ, [o]
కు, [uː]
ఓ, [oː]
కూ, [rɨ/ru]
ఔ, [aw]
కృ, kau
