ಕ, [kɒ]
ಟ, [ʈɒ]
ಪ, [pɒ]
ಶ, [çɒ]
ಖ, [kʰɒ]
ಠ, [ʈʰɒ]
ಫ, [pʰɒ]
ಷ, [ʂɒ]
ಗ, [gɒ]
ಡ, [ɖɒ]
ಬ, [bɒ]
ಸ, [sɒ]
ಘ, [gʱɒ]
ಢ, [ɖʱɒ]
ಭ, [bʱɒ]
ಹ, [hɒ]
ಙ, [ŋɒ]
ಣ, [ɳɒ]
ಮ, [mɒ]
ಳ, [ɭa]
ಚ, [cɒ]
ತ, [tɒ]
ಯ, [jɒ]
ಱ, [ɭa]
ಛ, [cʰɒ]
ಥ, [tʰɒ]
ರ, [ɾɒ]
ೞ, [ɭa]
ಜ, [ɟɒ]
ದ, [dɒ]
ಲ, [lɒ]
ಝ, [ɟʱɒ]
ಧ, [dʱɒ]
ವ, [ʋɒ]
ಞ, [ɲɒ]
ನ, [nɒ]
