अ, [ə]
प, [kə]
ट, [ʈə]
न, [nə]
श, [sə]
श्र, [aː]
पा, [kʰə]
ठ, [ʈʰə]
प, [pə]
ष, [sə]
इ, [ɪ]
पि, [gə]
ड, [ɖə]
फ, [pʰə]
स, [sə]
ई, [ɪː]
पी, [gʱə]
ड़, [ɽə]
ब, [bə]
ह, [hə]
उ, [u]
पु, [ŋə]
ढ, [ɽʱə]
भ, [bʱə]
ऊ, [ʊ]
पू, [t͡ʃə]
ण, [ɳə]
म, [mə]
ए, [e(ː)]
पे, [t͡ʃʰə]
त, [t̪ə]
य, [jə]
ऐ, [æː]
पै, [d͡ʒə]
थ, [t̪ʰə]
र, [rə]
ओ, [oː]
पो, [d͡ʒʱə]
द, [d̪ə]
ल, [lə]
औ, [ɔː]
पौ, [ɲə]
ध, [d̪ʰə]
व, [və/wə]
अँ, [ã]
पँ, pã
