क, [k]
ड़॒, [ᶑʰ]
ब॒, [ɓ]
ऴ, [ɭ]
ख, [kʰ]
ण, [ɳ]
ब़॒, [ɓʰ]
व, [v]
ग, [g]
ण़, [ɳʰ]
म, [m]
श, [ʃ]
घ, [gʱ]
त, [t̪]
म़, [mʰ]
श़, [ʃʰ]
च, [ʧ]
थ, [t̪ʰ]
य, [j]
स, [s]
छ, [ʧʰ]
द, [d̪]
र, [ɾ]
स़, [sʰ]
ज, [ʤ]
ध, [d̪ʰ]
ड़, [ɽ]
ख़, [χ]
झ, [ʤʰ]
न, [n]
ढ़, [ɽʰ]
ख़॒, [χʰ]
ट, [ʈ]
ऩ, [nʰ]
ज़, [z]
ह, [h]
ठ, [ʈʰ]
प, [p]
ज़॒, [zʰ]
फ़, [f]
ड, [ɖ]
प, [pʰ]
ल, [l]
ढ, [ɖʰ]
ब, [b]
ल़, [lʰ]
ॾ, [ᶑ]
भ, [bʰ]
ळ, [ɭ]
मारवाड़ी, Mārwāṛī
