A, [a]
J, [ʣ]
S, [s]
aa, [aː]
l’, [lˀ]
y’, [jˀ]
B, [b]
K, [kʲ~c/k]
T, [t̪]
c’, [ʦ’]
m’, [mˀ]
’, [ʔ]
C, [ʦ]
K̲, [q]
U, [u]
ee, [eː]
n’, [nˀ]
D, [d]
L, [l]
W, [w]
gw, [ɡʷ]
p’, [p’]
E, [e~ə]
Ł, [ɬ]
X, [xʲ~ç/x]
ii, [iː]
t’, [t̪’]
G, [ɡʲ~ɟ/ɡ]
M, [m]
X̲, [χ]
k’, [kʲ’~c’/k’]
tl’, [tɬ’]
G̱, [ɢ]
N, [n]
Y, [j]
kw, [kʷ]
uu, [uː]
H, [h]
O, [oː/o]
kw’, [kʷ’]
w’, [wˀ]
I, [i]
P, [p]
ḵ’, [q’]
xw, [xʷ]
