𑀓, [kə]
𑀝, [ʈə]
𑀧, [pə]
𑀬, [jə]
𑀔, [kʰə]
𑀞, [ʈʰə]
𑀨, [pʰə]
𑀭, [rə]
𑀕, [gə]
𑀟, [ɖə]
𑀩, [bə]
𑀮, [lə]
𑀖, [gʰə]
𑀠, [ɖʰə]
𑀪, [bʱə]
𑀯, [ʋə]
𑀗, [ŋə]
𑀡, [ɳə]
𑀫, [mə]
𑀰, [ɕə]
𑀘, [cə]
𑀢, [t̪ə]
𑀱, [ʂə]
𑀙, [cʰə]
𑀣, [t̪ʰə]
𑀲, [sə]
𑀚, [ɟə]
𑀤, [d̪ə]
𑀳, [ɦə]
𑀛, [ɟʰə]
𑀥, [d̪ʰə]
𑀴, [ɭə]
𑀜, [ɲə]
𑀦, [nə]
