अ, [ʌ]
प, [a]
पा, [i]
पि, [iː]
पी, [u]
पु, [uː]
पू, [e]
पे, [æ]
पै, [o]
पो, [u]
पौ, [ʌŋ]
पं, [ʌh]
पः, [ã]
पाँ, pāṃ
