a, [a]
c, [ts]
p, [p]
^, [ʔ]
i, [i]
d, [ð̪~ɮ̪]
r, [r]
', [ʡ~я]
u, [o/u]
g, [ɣ/x]
s, [s]
h, [h]
t, [t̪]
k, [k]
v, [v/f]
l, [l]
w, [w]
m, [m]
x, [ʜ]
n, [n̪]
y, [j]
ng, [ŋ]
z, [z]
