A,a
K,k
T,t
Aa,a:
N,n
U,u
O,o
Uu,u:
E,e
Oo,o:
W,w
E,eː
P,p
X,x
H,h
R,r
’,ʔ
I,i
S,s
Ii,i:
Š,ʃ
