', [ʔ]
G, [k]
Ł,  [ɬ]
Tł, [t͡ɬʰ]
aa,  [aː]
oo, [oː]
A, [a]
Gh, [ɣ]
M, [m]
Tł', [t͡ɬ']
ą, [ã]
ǫ, [õ]
B, [p]
H, [x]
N, [n]
Ts, [t͡sʰ]
ąą, [ãː]
ǫǫ, [õː]
Ch, [ t͡ʃʰ]
Hw, [ʍ]
O, [o]
Ts', [t͡s']
ee, [eː]
Ch', [ t͡ʃʼ]
I, [i]
P, [pʰ]
U, [u]
ę, [ẽ]
D, [t]
J, [ t͡ʃʰ]
S, [s]
W, [w]
ęę, [ẽː]
Dl, [t͡ɬ]
K,  [kʰ]
Sh, [ʃ]
Y,  [j]
ii, [iː]
Dz, [t͡s]
K', [k']
T, [tʰ]
Z,  [z]
į, [ĩ]
E, [e]
L,  [l]
T', [t']
Zh,  [ʒ]
įį, [ĩː]
