a, [a]
a̱, [ḁ]
b, [β]
e, [e]
e̱, [e̥]
h, [h]
i, [i]
i̱, [i]
k, [g̊]
o, [o]
o̱, [o̥]
m, [m]
u, [u]
u̱, [u̥]
n, [n]
ʉ, [ə]
ʉ̱, [ə̥]
p, [b̥]
aa, [aː]
ai, [ai]
r, [ɾ]
ee, [eː]
oi, [oi]
s, [s]
ii, [iː]
t,  [d̥]
oo, [oː]
w, [w]
uu, [uː]
y,  [j]
ʉʉ, [əː]
ʔ, [ʔ]
