ح, [h]
ذ, [z]
ض, [z]
ل, [l]
ﯘ, [ʤ]
ڈ, [d]
ص, [s]
گ, [g]
ٶ, [s]
د, [d]
ڥ, [k]
ﻭ, [w]
ﺉ, [ə]
ټ, [ʈ]
ځ, [ʑ]
ش, [ʃ]
ڨ, [ŋ]
ی, [j]
ٹ, [ʈ]
ڂ, [ɕ]
س, [s]
ﻕ, [q]
ڼ, [ɳ]
ۓ, [t]
ڇ, [f]
ﻦۢ, [j]
پ, [p]
څ, [ts]
ڷ, [b]
ۻ, [tʃ]
ژ, [ʒ]
غ, [ɢ]
ن, [n]
ۃ, [ɛ]
چ, [ʤ]
ز, [z]
ع, [ʔ]
مﬞ, [aː]
ڠ, [ʒ]
ڑ, [z]
م, [m]
ه, [h]
ا, [a]
خ, [x]
ر, [ɾ]
ط, [t]
ڵ, [lˀ]
ۉ, ῶ
