ᠠ, [a]
ᠭ, [g~ɢ]
ᠶ, [j]
ᠡ, [e]
ᠮ, [m]
ᠷ, [r]
ᠢ, [i; ɨ]
ᠯ, [l]
ᠸ, [w]
ᠣ, [o; u]
ᠰ, [s]
ᠹ, [f]
ᠨ, [n]
ᠱ, [ʃ]
ᠺ, [k]
ᠩ, [ŋ]
ᠲ, [t]
ᠻ, [x]
ᠪ, [b]
ᠳ, [d]
ᠼ, [ts]
ᠫ, [p]
ᠴ, [ʧ]
ᠽ, [dz]
ᠬ, [q]
ᠵ, [ʤ]
ᠡᠸᠡᠨᠺᠢ, ᠡᠸᠡᠨᠺᠢ
