A, [a]
J, [ʒ]
T, [t]
bw, [bw]
mw, [mw]
th, [θ]
B, [b]
K, [k]
U, [u]
dh, [ð]
ng, [ŋ]
tw, [tw]
C, [tʃ]
L, [l]
V, [v]
dhw, [ðw]
ny, [ɲ]
D, [d]
M, [m]
W, [w]
dj, [dʒ]
pv, [β]
E, [e]
N, [n]
Y, [j]
dr, [dr]
pw, [pw]
F, [f]
O, [o]
Z, [z]
dw, [dw]
sh, [ʃ]
G, [g]
P, [p]
dz, [dz]
sw, [sw]
H, [h]
R, [r]
gh, [ɣ]
tr, [tr]
I, [i]
S, [s]
kh, [x]
ts, [ts]
