A, [a]
H, [ʔ]
Ñ, [ɲ]
U, [ɯ]
aa, [aː]
gy, [kʲ]
B, [p]
I, [i]
O, [o]
V, [β]
ee, [eː]
jy, [xʲ~hʲ]
C, [kʰ]
Ɨ, [ɨ]
P, [pʰ]
W, [kʷ~kp]
ii, [iː]
ky, [kʰʲ]
Ch, [t͡ʃʰ~t͡sʲʰ]
J, [x~h]
R, [ɾ]
Y, [j]
ɨɨ, [ɨː]
my, [mʲ]
D, [t]
K, [kʰ~k]
S, [s]
oo, [oː]
py, [pʰʲ]
Ds, [t͡s]
Ll, [t͡ʃ~t͡sʲ]
Sh, [ʃ]
uu, [ɯː]
ty, [tʰʲ]
E, [e]
M, [m]
T, [tʰ]
by, [pʲ]
vy, [vʰʲ]
G, [g~k]
N, [n]
Ts, [t͡sʰ]
dy, [dʲ]
