କ, [kɔ]
ଟ, [ʈɔ]
ପ, [pɔ]
ଲ, [lɔ]
ଖ, [kʰɔ]
ଠ, [ʈʰɔ]
ଫ, [pʰɔ]
ଶ, [sɔ]
ଗ, [gɔ]
ଡ, [ɖɔ]
ବ, [bɔ]
ଷ, [sɔ]
ଘ, [gʱɔ]
ଢ, [ɖʱɔ]
ଵ, [vɔ]
ସ, [sɔ]
ଙ, [ŋɔ]
ଣ, [ɳɔ]
ଭ, [bʱɔ]
ହ, [hɔ]
ଚ, [ʧɔ]
ତ, [tɔ]
ମ, [mɔ]
ୱ, [wɔ]
ଛ, [ʧʰɔ]
ଥ, [tʰɔ]
ଯ, [ʤɔ]
ଜ, [ʤɔ]
ଦ, [dɔ]
ୟ, [jɔ]
ଝ, [ʤʱɔ]
ଧ, [dʱɔ]
ର, [rɔ]
ଞ, [ɲɔ]
ନ, [nɔ]
ଳ, [ɭɔ]
