A, [a/aː]
F, [f]
M, [m]
Ų, [uː]
Ą, [aː]
G, [g]
N, [n]
Ū, [uː]
B, [b]
H,  [ɦ]
O, [oː]
V, [v]
C, [ts͡]
I, [i]
P, [p]
Z, [z]
Č, [ʧ ͡]
Į, [iː]
R, [r]
Ž, [ʒ]
D, [d]
Y, [iː]
S, [s]
E, [ɛ/ɛː]
J, [j]
Š, [ʃ]
Ę, [ɛː]
K,  [k]
T, [t]
Ė, [eː]
L, [l]
U, [u]
