A, [a]
E, [ɛ]
Ł, [l]
Š, [ʃ]
B, [b]
F, [f]
M, [m]
T, [t]
C, [t͡s]
G, [g~ɟ]
N,  [n]
U, [u]
Ć, [t͡ɕ]
H, [ɣ~ʝ]
Ń, [ɲ]
Ŭ, [u̯]
Č, [t͡ʃ]
Ch, [x~ç]
O, [ɔ]
V, [v]
D, [d]
I, [i/ʲ]
P, [p]
Y, [ɨ]
Dz, [d͡z]
J, [j]
R, [r]
Z, [z]
Dź, [d͡ʑ]
K,  [k~c]
S, [s]
Ź, [ʑ]
Dž, [d͡ʒ]
L, [ʎ]
Ś, [ɕ]
Ž, [ʒ]
