অ, [ə]
এ, [e]
ক, [kə]
কে, [ke]
ক, [k]
ট, [ʈ]
প, [p]
য, [ʂ]
আ, [a]
ঐ, [ɐj]
কা, [ka]
কৈ, [kɐj]
খ, [kʰ]
ঠ, [ʈʰ]
ফ, [pʰ]
স, [s]
ই, [i]
ও, [o]
কি, [ki]
কো, [ko]
গ, [g]
ড, [ɖ]
ব, [b]
হ, [ɦ]
ঈ, [iː]
ঔ, [ɐw]
কী, [kiː]
কৌ, [kɐw]
ঘ, [gʱ]
ঢ, [ɖʱ]
ভ, [bʱ]
উ, [u]
অং, [əŋ]
কু, [ku]
কং, [kəŋ]
ঙ, [ŋ]
ণ, [ɳ]
ম, [m]
ঊ, [uː]
অঃ, [əh]
কূ, [kuː]
কঃ, [kəh]
চ, [t͡ʃ]
ত, [t̪]
য়, [j]
ঋ, [ɽ]
ঋ, [kɽi]
ছ, [t͡ʃʱ]
থ, [t̪ʰ]
র, [r]
জ, [d͡ʒ]
দ, [d̪]
ল, [l]
ঝ, [d͡ʒʱ]
ধ, [d̪ʱ]
ৱ, [w]
ঞ, [ɲ]
ন, [n]
শ, [ʃ]
