ɑ, [ɑ]
mʼ, [ˀm]
cʼ, [cʼ]
xʷ, [xʷ]
r, [r]
e, [e]
w, [w]
š, [ʃ]
q, [q]
rʼ, [rʼ]
i, [i]
wʼ, [ˀw]
ǰ, [ʤ]
q’, [q’]
ʕ, [ʕ]
o, [o]
t, [t]
č, [ʧ]
qʷ, [qʷ]
ʕʼ, [ʕʼ]
u, [u]
tʼ, [tʼ]
čʼ, [ʧʼ]
qʼʷ, [qʼʷ]
ʕʷ, [ʕʷ]
ə, [ə]
d, [d]
y, [j]
x̣, [χ]
ʕʼʷ, [ʕʼʷ]
p, [p]
n, [n]
yʼ, [ˀj]
x̣ʷ, [χʷ]
ʔ, [ʔ]
pʼ, [pʼ]
nʼ, [ˀn]
ɡʷ, [ɡʷ]
l, [l]
h, [h]
b, [b]
s, [s]
kʷ, [kʷ]
lʼ, [lʼ]
m, [m]
c, [c]
kʼʷ, [kʼʷ]
ɬ, [ɬ]
