A, [ɐ]
J, [j]
Ŋg, [ᵑg]
gw, [gʷ]
B, [b]
K, [k]
O, [ɔ]
kw, [kʷ]
C, [ʔ]
L, [l]
Ô, [o]
ŋgw, [ᵑgʷ]
D, [d]
M, [m]
P, [p]
E, [ɛ]
Mb, [ᵐb]
S, [s]
Ê, [e]
N, [n]
T, [t]
G, [g]
Nd, [ⁿd]
U, [u]
I, [i]
Ŋ, [ŋ]
W, [w]
