A, [a]
I, [i]
Q, [q/k]
Y, [j]
B, [b]
J, [dʒ]
R, [r~ɾ]
Z, [z/s]
C, [tʃ]
K, [k]
S, [s]
ng, [ŋ]
D, [d]
L, [l]
T, [t]
ngg, [ŋg]
E, [e]
M, [m]
U, [u]
F, [f]
N, [n]
V, [β]
G, [g]
O, [o]
W, [w]
H, [h]
P, [p]
X, [ks]
