',ʔ
G,k
aa,a:
oo,o:
A,a
M,m
ą,a
ǫ,õ
B,p
H,x
N,n
ąą,a:
ǫǫ,õː
O,o
Ts',tsʼ
ee,eː
I,i
P,pʰ
U,u
ę,e
D,t
S,s
W,w
ęę,eː
K,kʰ
Sh,ʃ
Y,j
ii,i:
Dz,ts
K',k
T,tʰ
Z,z
į,I
E,e
L,l
T',t
Zh,ʒ
įį,i:
