a, [a]
b, [b]
p, [p]
e, [ɨ]
ch, [tʃ]
r, [r]
i, [i]
d, [d]
s, [s]
u, [u]
g, [ɣ]
sh, [ʃ]
a̲, [ã]
j, [h]
t, [t]
e̲, [ɨ̃]
k, [k]
ts, [ts]
i̲, [ĩ]
m, [m]
w, [w~ʋ]
u̲, [ũ]
n, [n]
y, [j]
ng, [ŋ]
’, [ʔ]
