ཀ, [ka]
ཏ, [ta]
ཙ, [tsa]
ར, [ra]
ཁ, [kʰa]
ཐ, [tʰa]
ཚ, [tsʰa]
ལ, [la]
ག, [ga]
ད, [da]
ཛ, [dza]
ཤ, [ɕa]
ང, [ŋa]
ན, [na]
ཝ, [wa]
ས, [sa]
ཅ, [tɕa]
པ, [pa]
ཞ, [ʑa]
ཧ, [ha]
ཆ, [tɕʰa]
ཕ, [pʰa]
ཟ, [za]
ཨ, [ʔ]
ཇ, [dʑa]
བ, [ba]
འ, [ɦa]
ཉ, [ɲa]
མ, [ma]
ཡ, [ja]
