ཀ,k
ཏ,t
ཙ,ts
ར,r
ཁ,kʰ
ཚ,tsʰ
ལ,l
ག,g
ད,d
ཛ,dz
ང,ŋ
ན,n
ཝ,wa
ས,s
པ,p
ཧ,h
ཕ,pʰ
ཟ,z
ཨ,ʔ
བ,b
འ,ɦ
མ,m
ཡ,ja
