Ⲁ, [a/ʔ/ʕ]
Ⲓ, [iː~j]
Ⲥ, [s]
Ϧ, [x]
Ⲃ, [β~v]
Ⲕ, [k]
Ⲧ, [t]
Ϩ, [h/ħ]
Ⲅ, [g]
Ⲗ, [l]
Ⲩ, [uː]
Ϫ, [ʤ]
Ⲇ, [d]
Ⲙ, [m]
Ⲫ, [f]
Ϭ, [kʲ/tʃ]
Ⲉ, [i/e]
Ⲛ, [n]
Ⲭ, [kʰ]
Ϯ, [ti/de]
Ⲋ, [ks]
Ⲯ, [ps]
Ⳁ, [z]
Ⲟ, [o]
Ⲱ, [oː]
Ⲏ, [eː]
Ⲡ, [p]
Ϣ, [ʃ]
Ⲑ, [tʰ]
Ⲣ, [r]
Ϥ, [f]
