A, [a]
F, [f]
nd, [nd]
Ŝ, [ʂ]
B, [p]
G, [g]
ng, [ŋg]
T, [t]
Ɓ, [ɓ]
H, [h]
nj, [ɲɟ]
U, [ u]
C, [c]
I, [i]
Ñ, [ɲ]
W, [w]
D, [d]
J, [ɟ]
Ŋ, [ŋ]
Y, [j]
Ɗ, [ɗ]
K, [k]
O, [ɔ]
Z, [z]
E, [ɛ]
L, [l]
ó, [o]
’, [ʔ]
é, [e]
M, [m]
P, [p]
Ë, [ə]
mb, [mb]
R, [r]
è, [ɨ]
N, [n]
S, [s]
