A, [a]
I, [i~ɪ]
O, [o~ɔ]
pp, [pː]
B, [b]
J, [ɟ]
P, [p]
tt, [tː]
C, [ʧ]
K, [k]
R, [r]
ww, [wː]
D, [d̪]
L, [l]
S, [s]
yy, [jː]
E, [e~ɛ]
M, [m]
T, [t̪]
ʼ, [ʔ]
F, [f~ɸ]
N, [n]
U, [u~ʊ]
G, [g]
Ny, [ɲ]
W, [w]
H, [x]
Ŋ, [ŋ]
Y, [j]
