Α, [a/aː]
Ι, [i]
Ρ, [r]
κχ\κ̒, [kʰ]
τσχ\σ̓, [tʃ]
Β, [v]
Κ, [k/c]
Σ, [s]
λλ\λ̣, [l]
τζ\τζ, [tɕ/trʒ]
[tɕ\d͡ʒ], [tɕ/d͡ʒ]
Γ, [ɣ/ɲɟ]
Λ, [l/ʎ]
Τ, [t/d]
νν\ν̇, [n]
τσ, [ts/tɕ]
Δ, [ð]
Μ, [m]
Υ, [u/ju/y]
ου, [u/w]
Ε, [e]
Ν, [n/ɲ]
Φ, [f]
σχ\σ̌, [ ʃ]
Ζ, [z]
Ξ, [ks]
Χ, [χ/ ç/x]
πφ\π̒, [pʰ]
Η, [i]
Ο, [o/u]
Ψ, [ps]
ρζ, [rʒ]
Θ, [θ]
Π, [p]
Ω, [o]
τθ\τ̒, [tʰ]
