A, [ɑ]
J, [ʒ]
S, [s/z]
B, [b]
K,  [k]
T, [t]
C, [k/ts]
L, [l]
U, [u]
D, [d]
M, [m]
V, [v]
E, [e]
N, [n]
W, [w]
F, [f]
O, [o]
X, [ks]
G, [g]
P, [p]
Y, [i]
H,  [h]
Q, [k]
Z, [z]
I, [i]
R, [r]
