ക, [ka]
ട, [ʈa]
പ, [pa]
ശ, [ʃa]
Chillus, [ɳ]
ഖ, [kʰa]
ഠ, [ʈʰa]
ഫ, [pʰa]
ഷ, [ʂa]
ൻ, [n]
ഗ, [ga]
ഡ, [ɖa]
ബ, [ba]
സ, [sa]
ർ, [r]
ഘ, [gʱa]
ഢ, [ɖʱa]
ഭ, [bʱa]
ഹ, [ɦa]
ൽ, [l]
ങ, [ŋa]
ണ, [ɳa]
മ, [ma]
ള, [ɭa]
ൾ, [ɭ]
ച, [ʧa]
ത, [t̪a]
യ, [ja]
ഴ, [ɹa]
ൿ, [k]
ഛ, [ʧʰa]
ഥ, [t̪ʰa]
ര, [ɾa]
റ, [ra/ta]
ജ, [ʤa]
ദ, [d̪a]
ല, [la]
ഩ, [na]
ഝ, [ʤʱa]
ധ, [d̪ʱa]
വ, [ʋa]
ഺ, [ta]
ഞ, [ɲa]
ന, [na/n̪a]
