خ, [x]
ض, [d̪]
گ, [g]
ࢬ, [j]
ࣵ, [ɔ̃]
ح, [x]
ص, [s]
ك, [k]
ࢫ, [w]
ٌ, [ũ]
چ, [c]
ش, [ʃ]
ق, [q]
ࢪ, [ɽ]
ٍ, [ĩ]
ج, [ɟ]
س, [s]
ڤ, [v]
ي, [j]
ً, [ã]
ث, [t̪s]
ز, [z]
ف, [f]
ء, [ʔ]
ࣶ, [o]
ٹ, [ʈ]
ڑ, [ɽ]
ڠ, [ŋ]
ه, [h]
ࣸ, [e]
ࣼ, [ˇː]
ت, [t̪]
ر, [r]
غ, [g]
و, [w]
ࣴ, [ɔ]
ࣻ, [ˆː]
پ, [p]
ذ, [z]
ع, [ʔ]
ن, [n]
ُ, [u]
ࣺ, [´]
ب, [b]
ڈ, [ɖ]
ظ, [z]
م, [m]
ِ, [i]
ࣷ, [õ]
ا, [-/ʔ]
د, [d̪]
ط, [t̪]
ل, [l]
َ, [a]
ࣹ, [ẽ]
