a, [a/ə]
b, [b]
l, [l]
e, [e]
ɓ, [ɓ]
m, [m]
i, [i]
c, [t͡ʃ]
n, [n]
o, [o]
d, [d]
ŋ, [ŋ]
u, [u]
ɗ, [ɗ]
p, [p]
f, [f]
r, [r]
g, [g]
s, [s]
h, [h]
t, [t]
j, [d͡ʒ]
w, [w]
k, [k]
ʔ, [ʔ]
