a, [a]
b, [b]
hw, [hʷ]
ng, [ŋː]
ti,  [tçi]
e, [i]
d, [d]
hwi, [çʷi]
ngi, [ɲĩ]
twi,  [tɕʷi]
e, [e]
dw, [dʒ]
hyi, [çi]
nw, [ŋŋʷ]
w, [w]
i, [ɪ]
dwi, [dʑʷi]
k, [kʰ]
nwi, [ɲʷĩ]
wi, [ɥi]
o, [ʊ]
f, [f]
kw, [kʷ]
n(n)yi, [ɲːĩ]
o, [o]
g, [g]
kyi, [tɕʰi~cçʰi]
p, [pʰ]
u, [u]
gw, [gʷ]
l, [l]
r, [ɾ/r/ɽ]
ɛ, [ɛ]
gyi, [dʑi~ɟʝi]
m, [m]
s, [s]
ɔ, [ɔ]
h, [h]
n, [n/ŋ/ɲ]
t, [tʰ]
