A, [a]
Gu, [g]
Ñ, [nʲ]
U, [u]
ã, [ã]
B, [b]
Hu, [h~x]
P, [p]
V, [v]
ẽ, [ẽ]
Ch, [ʧ]
I, [i]
R, [ɾ]
Y, [j]
ĩ, [ĩ]
D, [d]
J, [ʤ]
S, [s]
’, [ʔ]
ɨ̃, [ɨ̃] 
Dy, [dʲ]
L, [l]
Sh, [ʃ]
ũ, [ũ]
E, [e]
Ll, [ɬ]
T, [t]
ɨ\i, [ɨ]
F, [f]
M, [m]
Ts, [ts]
kw\qu, [kw~kʷ]
G, [g]
N, [n]
Ty, [tʲ]
