A, [a]
K, [k]
T, [t̪]
pp, [pː]
B, [b]
M, [m]
U, [u/ʊ]
tt, [tː]
C, [t͡ʃ]
N, [n]
W, [w]
ww, [wː]
D, [d]
Ny, [ ɲ]
X, [x]
yy, [jː]
E, [e/ɛ]
Ŋ, [ŋ]
Y, [j]
F, [f/ɸ]
O, [o/ɔ]
'\ʔ,  [ʔ]
G, [g]
P, [p]
I, [i/ɪ]
R, [r]
J, [ ɟ/ʄ]
S, [s]
