A, [a]
M, [m]
U, [ɨ]
B, [b]
N, [n~ŋ]
W, [w]
E, [e]
O, [o~u]
Y, [j]
F, [ɸ]
P, [p]
aa, [aː]
H, [h]
R, [r]
ee, [eː]
I, [i]
Rh, [ɽ]
ii, [iː]
K, [k]
S, [s~ʃ]
oo, [oː~uː]
Kh, [kʰ]
T, [t~tʃ]
uu, [ɨː]
L, [l]
Th, [tʰ~tʃʰ]
