A,a
M,m
B,b
N,ŋ
W,w
E,e
O,u
Y,j
P,p
aa,a:
H,h
R,r
ee,eː
I,i
ii,i:
K,k
S,ʃ
Kh,kʰ
T,t̠ʃ̰
L,l
