a, [a]
on, [on/ɔ̃n]
b, [b]
l, [l/r]
â, [ɑ]
un, [un/ũn]
c, [k/ʧ]
m, [m]
e, [e/ɛ/æ/a]
agn, [aɲ/ãɲ]
ch, [k]
n, [n]
i, [ɪ/i]
ogn, [oɲ/ɔ̃ɲ]
chj, [tj]
p, [p]
o, [o/ɔ]
ia, [ja]
d, [d/r]
qu, [kʷ/kw]
u, [u/ɥ]
ie, [je/jɛ]
f, [f]
r, [r]
an, [an/ãn]
io, [jo/jɔ]
g, [g/ʤ]
s, [s/ʃ]
en, [ɛn/ɛ̃n]
iu, [ju]
gh, [g]
sc, [ʃ]
in, [ɪn]
ua, [ʷa]
ghj, [dj]
sg, [ʒ]
gli, [lj/ʎ]
t,  [t]
gn, [ɲ]
v, [b/v]
