A, [a]
J, [dʒ]
S, [s]
B, [b]
K, [k]
T, [t]
D, [d]
Kp, [kp]
U, [u]
E, [e]
L, [l]
V, [v]
Ɛ, [ɛ]
M, [m]
W, [w]
F, [f]
N, [n]
Y, [j]
G, [g]
Ny, [ɲ]
Gb, [gb]
O, [o]
H, [h]
Ɔ, [ɔ]
I, [i]
P, [p]
