a, [a]
b, [p]
g, [k]
m, [m]
t’, [tʼ]
tz, [t͡sʰ]
e, [e]
ch, [t͡ʃʰ]
gg, [q]
n, [n]
th, [θ]
v, [β]
i, [i]
ch’, [ t͡ʃʼ]
gh, [ɣ]
ng, [ŋ]
tł, [t͡ɬʰ]
x, [χ]
o, [o]
d, [d]
h, [h]
q, [qʰ]
tł’, [t͡ɬʼ]
y, [j]
u, [u]
dh, [ð]
j, [t͡ʃ]
q’, [q’]
tr, [ʈʰ]
yh, [ç]
ddh, [t͡θ]
k, [kʰ]
s, [s]
tr’, [ʈ’]
z, [z]
dl, [t͡ɬ]
k’, [kʼ]
sh, [ʃ]
ts’, [t͡sʼ]
zr, [ʐ]
dr, [ʈ]
l, [l]
sr, [ʂ]
tth, [t͡θʰ]
’, [ʔ]
dz, [t͡s]
ł, [ɬ]
t, [tʰ]
tth’, [t͡θʼ]
