Аа, [a]
Ии, [i]
Сс, [s]
Щщ, [ʃt]
Ѩѩ, [jɛ̃]
Бб, [b]
Іі\Її, [i]
Тт, [t]
Ъъ, [ʌ]
Ѫѫ, [ɔ̃]
Вв, [v]
Кк, [k]
Qq\Ѹѹ, [u]
Ыы, [y]
Ѭѭ, [iɔ̃]
Гг, [g]
Лл, [l]
Фф, [f]
Ьь, [ɪ]
Ѯ, [ks]
Дд, [d]
Мм, [m]
Хх, [x]
Ѣѣ, [ja]
Ѱѱ, [ps]
Єє, [ɛ]
Нн, [n]
Ѡѡ, [oː]
Яя, [ia]
Ѳѳ, [t/θ/f]
Жж, [ʒ]
Оо, [o]
Цц, [ts]
Ѥѥ,  [iɛ]
Ѵѵ, [ɪ/y]
Ѕѕ, [ʣ]
Пп, [p]
Чч, [ʧ]
Юю, [iu]
Ҁҁ, [k]
Çç\Зз, [z]
Рр, [r]
Шш, [ʃ]
Ѧѧ, [ɛ̃]
Ꙉꙉ, [dʑ]
