A, [a]
Ĥ, [x]
R, [r/ɾ]
aj, [ai̯]
B, [b]
I, [i]
S, [s]
aŭ, [au̯]
C, [ʦ]
J, [j]
Ŝ, [ʃ]
ej, [ei̯]
Ĉ, [ʧ]
Ĵ, [ʒ]
T, [t]
eŭ, [eu̯]
D, [d]
K,  [k]
U, [u]
oj, [oi̯]
E, [e]
L, [l]
Ŭ, [u̯]
uj, [ui̯]
F, [f]
M, [m]
V, [v]
G, [g]
N, [n]
Z, [z]
Ĝ, [ʤ]
O, [o]
H, [h]
P, [p]
