خ, [x]
ض, [z]
ﻝ, [l]
ح, [h]
ص, [s]
گ, [g]
چ, [ʧ]
ش, [ʃ]
ک, [k]
ج, [ʤ]
س, [s]
ﻕ, [ɢ/ɣ]
ث, [s]
ژ, [ʒ]
ﻑ, [f]
ی, [j/i/ɒː/ej]
ت, [t]
ز, [z]
ﻍ, [ɢ/ɣ]
ﻩ, [h/Ø/e/æ]
پ, [p]
ر, [r]
ع, [ʔ/Ø]
ﻭ, [v/uː/o/ow]
ب, [b]
ذ, [z]
ظ, [z]
ﻥ, [n]
آ\ا, [ʔ/Ø/æ/ɒː]
د, [d]
ط, [t]
ﻡ, [m]
