Աա, [ɑ]
Իի, [ɪ]
Յյ, [h/j]
Տտ, [t] 
Բբ, [b]
Լլ, [l]
Նն, [n]
Րր, [ɾ]
Գգ, [g] 
Խխ, [x]
Շշ, [ʃ]
Ցց, [tsʰ]
Դդ, [d]
Ծծ, [ts]
Ոո, [vo/o]
ՈՒու, [v]
Եե, [ɛ/jɛ]
Կկ, [k]
Չչ, [ʧʰ]
Փփ, [pʰ]
Զզ, [z]
Հհ, [h]
Պպ, [p]
Քք, [kʰ]
Էէ, [e]
Ձձ, [dz] 
Ջջ, [ʤ]
և, [ev/jev]
-, [ə]
Ղղ, [ʁ]
Ռռ, [r]
Օօ, [o]
Թթ, [tʰ]
Ճճ, [ʧ]
Սս, [s]
Ֆֆ, [f]
Ժժ, [ʒ]
Մմ, [m]
Վվ, [v]
Հայերէն, period
