[  ̚]
[  ̝]
[  ̞]
[  ̟]
[  ̤]
[  ̧]
[  ̮]
[  ̰]
[  ̱]
[ ʥ ]
[ ʧ ]
[ ʨ ]
[ ʰ ]
[ ʷ ]
[ ˈ ]
[ ː ]
[ ˞ ]
[ β ]
[ θ ]
[ θa ]
[ χ ]
[ ḥ ]
[(d)ʒ]
[(j)]
[(k)s]
[(p)s]
[-/ʔ]
[-s]
[-̥]
[.p~b]
[\xaf]
[\xb4]
[\xdf]
[\xe3]
[\xe3j]
[\xe6]
[\xe6i]
[\xe6l]
[\xe6m]
[\xe6n]
[\xe6r]
[\xe6s]
[\xe7]
[\xe7a]
[\xe7e]
[\xe7i]
[\xe7o]
[\xe7u]
[\xe9]
[\xf0]
[\xf0w]
[\xf3]
[\xf5]
[\xf5j]
[\xf8]
[\xf8y]
[^]
[`]
[a(ː)]
[a, ə]
[a/aː]
[a/æ]
[a/ɑ]
[a/ɒ]
[a/ə]
[a]
[ae]
[af/av]
[ai]
[ai̭]
[ai̯]
[aj]
[ak]
[al]
[am]
[an]
[ao]
[ap]
[as]
[at]
[au]
[aṷ]
[au̯]
[aw]
[a~a:]
[a~æ]
[a~ɐ]
[a~ɑ]
[a~ə]
[aĭ]
[aŋ]
[aə]
[aɨ]
[aɪ]
[aɪ̯]
[aɯ]
[aʊ]
[aʊ̯]
[aʔ]
[aː/a]
[aː]
[aːi]
[aːm]
[aːn]
[aːp]
[aːt]
[aːu]
[aːŋ]
[aːɨ]
[aːɪ]
[aːʊ]
[aˑ]
[aˤ]
[aˤː]
[aˤˑ]
[a˥]
[a˥˥]
[a˥˧]
[a˧˧]
[a˨]
[a˨˦]
[a̤ː]
[ḁ]
[b, p]
[b/ba]
[b/p]
[b/p̚]
[b/v]
[b/w]
[b/β]
[b]
[ba]
[be]
[beː]
[beˑ]
[bi]
[biˑ]
[bja]
[bjo]
[bju]
[bo]
[bu]
[bv]
[bw]
[b~β]
[bɒ]
[bɔ]
[bə]
[bʰ]
[bʱ]
[bʱa]
[bʱɒ]
[bʱɔ]
[bʱə]
[bʲ]
[bʷ]
[bː]
[b̥]
[c/ca]
[c/t]
[c]
[ca]
[cu]
[cɒ]
[cɒː]
[cɔ]
[cɔː]
[cə]
[cʰ]
[cʰɒ]
[cʰə]
[cʼ]
[cːʰ]
[c͡ç]
[d/da]
[d/d̡]
[d/r]
[d/t]
[d/t̚]
[d/ð]
[d\xf0]
[d]
[da]
[dai]
[de]
[deː]
[deˑ]
[di]
[dj]
[do]
[dr]
[dsʱ]
[ds’]
[du]
[dw]
[dz]
[dza]
[dz~z]
[dzʶ]
[d~ð]
[dð]
[dɒ]
[dɔ]
[də]
[dɮ]
[dʃʱ]
[dʑ]
[dʑa]
[dʒ]
[dʒa]
[dʒʱ]
[dʒʶ]
[dʱ]
[dʱa]
[dʱɒ]
[dʱɔ]
[dʲ]
[dʶ]
[dʷ]
[dˁ~d]
[dː]
[d̥]
[d̪]
[d̪a]
[d̪ə]
[d̪ʰ]
[d̪ʱ]
[d͡z]
[d͡ʐ]
[d͡ʑ]
[d͡ʒ]
[dⁿ]
[e(ː)]
[e/eː]
[e/je]
[e/æ]
[e/ə]
[e/ɛ]
[e/ɤ]
[e/ɪ]
[e\xf8]
[e]
[ea]
[ef/ev]
[ef]
[eff]
[ei]
[eiɐ]
[ei̭]
[ei̯]
[ej]
[ek]
[el]
[ell]
[em]
[emm]
[en]
[enn]
[eo]
[ep]
[er]
[err]
[es]
[ess]
[es’]
[et]
[eu]
[eṷ]
[eu̯]
[e~ə]
[e~ɛ]
[eø]
[eŋ]
[eɐ]
[eə]
[eɪ]
[eɬ]
[eː]
[eˑ]
[eˤ]
[eˤˑ]
[e˨]
[e̝]
[e̥]
[f/-]
[f/fa]
[f/p]
[f/p̚]
[f/v]
[f/v̥]
[f/ɸ]
[f]
[fiˑ]
[f~ɸ]
[fː]
[g/ga]
[g/gw]
[g/j]
[g/k]
[g/ɣ]
[g/ʤ]
[g]
[ga]
[gb/p]
[gb]
[gbr]
[geː]
[geˑ]
[ggl]
[gu]
[gw]
[g~k]
[g~ɟ]
[g~ɢ]
[g~ɣ]
[gɒ]
[gɔ]
[gə]
[gʰ]
[gʰə]
[gʱ]
[gʱa]
[gʱɒ]
[gʱɔ]
[gʱə]
[gʲ]
[gʷ]
[gː]
[g̊]
[gᵑ]
[h/-]
[h/ha]
[h/j]
[h/x]
[h/Ø]
[h/ħ]
[h]
[ha]
[hai]
[hau]
[heˑ]
[hj]
[hl]
[hm]
[hn]
[ho]
[hoː]
[hr]
[hv]
[h~f]
[h~x]
[hŋ]
[hɑː]
[hɒ]
[hɒː]
[hɔ]
[hə]
[hɲ]
[hʷ]
[h̃]
[i/e]
[i/f/v]
[i/iː]
[i/i̞]
[i/i̭]
[i/j]
[i/ji]
[i/ĩ]
[i/ɛi]
[i/ɪ]
[i/ɯ]
[i/ʲ]
[i:]
[i; ɨ]
[i]
[I]
[ia/io]
[ia]
[iaŋ]
[iaʔ]
[ie]
[ieu]
[ieŋ]
[ieʔ]
[ijo]
[ijə]
[ik]
[ikks]
[im]
[in]
[ioŋ]
[ioʔ]
[ip]
[it]
[iu]
[iw]
[i~ɪ]
[iŋ]
[iɐ]
[Iɒː]
[Iɔː]
[iɔ̃]
[iə]
[iəm]
[iən]
[iəp]
[iət]
[iəŋ]
[iɛ]
[iː/e]
[iː/i]
[iː]
[iːu]
[iː~j]
[iːː]
[iˑ]
[iˤ]
[iˤˑ]
[ĩ]
[i̝]
[i̤ɜ]
[i̤ː]
[i̭/i]
[i̭a]
[i̭e]
[i̭o]
[i̭ɔ]
[i̭ɛ]
[i̯o]
[ḭ]
[j/-ĭ]
[j/i]
[j/iː]
[j/j:]
[j/j]
[j/ja]
[j/j̃]
[j/n]
[j/ç]
[j/ʎ]
[j/ʒ]
[j\xe6]
[j]
[ja, a]
[ja:]
[ja]
[jaˑ]
[je, e]
[je/e]
[je]
[jer]
[jeʀ]
[jeː]
[jeˑ]
[ji]
[jiː]
[jiˑ]
[jo, o]
[jo]
[jott]
[joˑ]
[ju, u]
[ju]
[juˑ]
[jy]
[j~iː]
[jæ]
[jɑ]
[jɒ]
[jɔ]
[jɔː]
[jɔˑ]
[jɔ̃]
[jə]
[jɛ]
[jɛ̃]
[jʌ]
[jˀ]
[jː]
[k']
[k*]
[k, g]
[k/c]
[k/g]
[k/ka]
[k/kʲ]
[k/kʷ]
[k/k̚]
[k/q]
[k/s]
[k/s̻]
[k/ts]
[k/x]
[k/ɣ]
[k/ʔ]
[k/ʧ]
[k/χ]
[k]
[ka]
[kai]
[kan]
[kar]
[kau]
[kaŋ]
[kaː]
[kaˑf]
[ke]
[kea]
[keˑ]
[kh]
[ki]
[kiː]
[kja]
[ko]
[koː]
[kp]
[kpr]
[ks/gz]
[ks]
[ksʲi]
[ku]
[kuː]
[kṷ]
[kv]
[kw]
[kx’]
[ky]
[k~c]
[k~g]
[kɐj]
[kɐw]
[kɑː]
[kɒ]
[kɒː]
[kɔ]
[kɔː]
[kə]
[kəh]
[kəu]
[kəŋ]
[kɬ]
[kɽi]
[kʂa]
[kʃ]
[kʰ/k]
[kʰ]
[kʰa]
[kʰ~k]
[kʰɒ]
[kʰɔ]
[kʰə]
[kʰʲ]
[kʰː]
[kʱ]
[kʲ]
[kʲʰ]
[kʲʼ]
[kʲˀ]
[kʷ]
[kʷa]
[kʷe]
[kʷʰ]
[kʷʼ]
[kʷˀ]
[kʷː]
[kʼ]
[kʼʷ]
[kʿ]
[kˀ]
[kː]
[k͈]
[k͈ː]
[k͡p]
[k͡s]
[k’]
[l(ː)]
[l/la]
[l/lʲ]
[l/lˤ]
[l/l̥]
[l/n]
[l/r]
[l/ɬ]
[l/ɾ]
[l/ʎ]
[l]
[la]
[lam]
[laː]
[laˑm]
[ld]
[lj/ʎ]
[ll]
[l~ɫ]
[l~ɾ]
[lɒ]
[lɔ]
[lə]
[lʰ]
[lʱ]
[lʲ]
[lʼ]
[lˀ]
[lː]
[l̥]
[l̪]
[m/m]
[m/ma]
[m/mˤ]
[m/m̩]
[m/n]
[m]
[ma]
[malti]
[mb]
[mba]
[me]
[mi]
[miˑm]
[mja]
[mjo]
[mm̥]
[mo]
[mp]
[mpɔ]
[mu]
[mum]
[mw]
[mɒ]
[mɔ]
[mɔː]
[mə]
[mʰ]
[mʲ]
[mʷ]
[mˀ]
[mː]
[mˠ]
[mˠː]
[m̤]
[m̥]
[m̩/m]
[m̩]
[m̩b]
[m̰]
[m͡b]
[m͡gb]
[m͡v]
[mᵇ]
[n, ɲ]
[n.g]
[n/n]
[n/na]
[n/n̥]
[n/n̩]
[n/ŋ]
[n/ɲ]
[n]
[na]
[naʂ]
[nd]
[nda]
[ng/ŋ]
[nin]
[nn̥]
[nrɔ]
[ns]
[nt]
[nu]
[nuˑn]
[nz]
[n~ŋ]
[nɒ]
[nɔ]
[nɔː]
[nə]
[nʤ]
[nʰ]
[nʲ]
[nʷ]
[nˀ]
[nː]
[n̥]
[n̩/n]
[n̩d]
[n̩t]
[n̪/n]
[n̪]
[n̼]
[n͡d]
[n͡dz]
[nᵈ]
[o(ː)]
[o/oː]
[o/u]
[o/wo]
[o/ɔ]
[o:]
[o; u]
[o]
[oi]
[oi̭]
[oi̯]
[oj]
[om]
[on]
[op]
[ot]
[ou]
[ouɐ]
[owa]
[owha]
[o~oː]
[o~u]
[o~ɔ]
[oŋ]
[oɐ]
[oə]
[oɪ]
[oː/o]
[oː]
[oːi]
[oˑ]
[oˤ]
[oˤː]
[oˤˑ]
[o̝]
[o̞]
[o̥]
[p']
[p*]
[p/b]
[p/b̥]
[p/f]
[p/pa]
[p/pʰ]
[p/p̚]
[p/Ø]
[p]
[pa]
[pe]
[peː]
[pf]
[ph]
[pi]
[piˑ]
[pja]
[pju]
[po]
[ps]
[psʲi]
[pu]
[pw]
[p~b]
[p~f]
[pɒ]
[pɔ]
[pɔː]
[pə]
[pʃ]
[pʰ/-]
[pʰ/f]
[pʰ/p]
[pʰ]
[pʰa]
[pʰi]
[pʰɒ]
[pʰɔ]
[pʰə]
[pʰʲ]
[pʰː]
[pʲ]
[pʷ]
[pʼ]
[pʿ]
[pˀ]
[pː]
[p̀ʱ]
[p̎ː]
[p͡s]
[p’]
[q/k]
[q]
[qʰ]
[qʷ]
[qʷʼ]
[qʷˀ]
[qʼ]
[qʼʲ]
[qʼʷ]
[qʿ]
[qˀ]
[qː]
[qˤ]
[qˤʷ]
[qˤʼ]
[q’]
[r(ˑ)]
[r/l]
[r/n]
[r/ra]
[r/rʲ]
[r/r̥]
[r/r̩]
[r/ɐ]
[r/ɾ]
[r;l/n]
[r]
[ra/ta]
[ra]
[rd]
[reˑ]
[ri/ru]
[ri]
[ro/ru]
[ru]
[r~l]
[r~rˁ]
[r~rˤ]
[r~ɾ]
[rɔ]
[rɔː]
[rə]
[rʒ]
[rʰ]
[rʼ]
[rː]
[rˑ]
[r̥]
[s']
[s*]
[s.h]
[s/k]
[s/sa]
[s/s̡]
[s/t]
[s/tʃ]
[s/t̚]
[s/z]
[s/z̥]
[s/ɕ]
[s/ʃ]
[s/θ]
[s; ɕ]
[s]
[sa]
[se]
[seː]
[siˑn]
[so]
[st]
[su]
[suomi]
[sw/ts]
[sw]
[s~k]
[s~z]
[s~ʃ]
[sɒ]
[sɒː]
[sɔ]
[sə]
[sʰ]
[sʰː]
[sʲ]
[sʷ]
[sʷː]
[sˁ/s]
[sˁ]
[sˁ~s]
[sː]
[sː̲]
[sˤ]
[s̪]
[s̱ˁ]
[s̴]
[s̺]
[s̻]
[s’]
[t ̪]
[t']
[t*]
[t/d]
[t/d̥]
[t/t]
[t/ta]
[t/tʰ]
[t/t̚]
[t/Ø]
[t/ƫ]
[t/ʧ]
[t/ː]
[t/θ]
[t]
[ta]
[te]
[teː]
[th]
[Thita]
[ti/de]
[ti]
[tiˑ]
[tj]
[tl̥]
[to]
[tr]
[ts/dz]
[ts]
[tsa]
[tset]
[tsʰ]
[tsʰa]
[tsʼ]
[tsˀ]
[ts̠]
[ts̪]
[ts̺]
[ts̻]
[ts͡]
[ts’]
[tu]
[tw]
[tz]
[t~d]
[t~s]
[t~tʃ]
[tæk]
[tçi]
[tɒ]
[tɒː]
[tɔ]
[tɔː]
[tɕ/t]
[tɕ]
[tɕa]
[tɕʰ]
[tə]
[tɫ]
[tɬ]
[tɬʰ]
[tɬʼ]
[tɬˀ]
[tʂ]
[tʂʰ]
[tʂˀ]
[tʃ]
[tʃa]
[tʃə]
[tʃʰ]
[tʃʼ]
[tʃˀ]
[tʃː]
[tʜ]
[tʰ/t]
[tʰ]
[tʰa]
[tʰɒ]
[tʰɔ]
[tʰə]
[tʰʲ]
[tʰː]
[tʲ]
[tʷ]
[tʷʰ]
[tʼ]
[tʿ]
[tˀ]
[tˁ]
[tˁ~t]
[tː]
[tˢ]
[tˤ]
[t̥l]
[t̪]
[t̪a]
[t̪s]
[t̪ə]
[t̪ʰ]
[t̴]
[t̺]
[t̺ʰ]
[t̼]
[t͡s']
[t͡s]
[t͡ɕ]
[t͡ɬ]
[t͡ʃ]
[t͡θ]
[tθ]
[tθʰ]
