d̪,[+, -, -, -, -, -, -, -, +, -, 0, 0, 0, 0]
ðw,[+, -, +, +, -, -, -, +, -, -, 0, 0, 0, 0]
jiˑ,[-, +, +, 0, +, -, -, -, 0, +, +, -, +, -]
jɔ,[-, +, +, 0, +, -, -, -, 0, +, +, -, +, -]
p~f,[+, -, +, +, -, -, -, +, 0, -, 0, 0, 0, 0]
nda,[+, +, -, -, -, -, -, -, -, -, 0, 0, 0, 0]
bʱ,[+, -, -, -, -, -, -, +, 0, -, 0, 0, 0, 0]
uk,[-, +, +, 0, +, -, -, +, 0, +, +, -, -, +]
k’,[+, -, -, -, -, -, -, -, 0, +, +, -, -, -]
wə,[-, +, +, 0, +, -, -, +, 0, +, +, -, -, +]
ŋk,[+, +, -, -, -, -, -, -, 0, +, +, -, -, -]
l(ː),[+, +, +, 0, +, -, +, -, -, -, 0, 0, 0, 0]
qʷʼ,[+, -, -, -, -, -, -, +, 0, +, -, -, -, +]
m͡v,[+, +, -, +, -, -, -, +, 0, -, 0, 0, 0, 0]
v,[+, -, +, +, -, -, -, +, 0, -, 0, 0, 0, 0]
mɔː,[+, +, -, 0, -, -, -, +, 0, -, 0, 0, 0, 0]
aː,[-, +, +, 0, +, -, -, -, 0, +, -, +, -, -]
kʰ,[+, -, -, -, -, -, -, -, 0, +, +, -, -, -]
j:,[-, +, +, 0, +, -, -, -, 0, +, +, -, +, -]
c,[+, -, -, -, -, -, -, -, +, +, +, -, +, -]
ŋɔ,[+, +, -, 0, -, -, -, -, 0, +, +, -, -, -]
ɐi,[-, +, +, 0, +, -, -, +, 0, +, -, +, -, -]
ʧ*,[+, -, -, +, -, -, -, -, +, -, 0, 0, 0, 0]
nd,[+, +, -, -, -, -, -, -, -, -, 0, 0, 0, 0]
do,[+, -, -, -, -, -, -, -, -, -, 0, 0, 0, 0]
ß,[+, -, +, +, -, -, -, -, -, -, 0, 0, 0, 0]
β,[+, -, +, +, -, -, -, +, 0, -, 0, 0, 0, 0]
dr,[+, -, -, -, -, -, -, -, -, -, 0, 0, 0, 0]
ẽː,[-, +, +, 0, +, -, -, -, 0, +, -, -, +, -]
iːu,[-, +, +, 0, +, -, -, -, 0, +, +, -, +, -]
n̼,[+, +, -, 0, -, -, -, -, -, -, 0, 0, 0, 0]
oː,[-, +, +, 0, +, -, -, +, 0, +, -, -, -, +]
a~æ,[-, +, +, 0, +, -, -, -, 0, +, -, +, +, -]
n͡d,[+, +, -, -, -, -, -, -, -, -, 0, 0, 0, 0]
ɠ,[+, -, -, -, -, -, -, -, 0, +, +, -, -, -]
dj,[+, -, -, -, -, -, -, -, -, -, 0, 0, 0, 0]
ɵ,[-, +, +, 0, +, -, -, +, 0, +, -, -, -, -]
t,[+, -, -, -, -, -, -, -, -, -, 0, 0, 0, 0]
hj,[-, -, +, +, -, -, -, -, 0, +, +, -, +, +]
ja,a,[-, +, +, 0, +, -, -, -, 0, +, +, -, +, -]
x~h,[-, -, +, +, -, -, -, -, 0, -, 0, 0, 0, 0]
r~rˤ,[+, +, +, 0, +, +, -, -, -, -, 0, 0, 0, 0]
ãː,[-, +, +, 0, +, -, -, -, 0, +, -, +, -, -]
eə,[-, +, +, 0, +, -, -, -, 0, +, -, -, +, -]
viˑ,[+, -, +, +, -, -, -, +, 0, -, 0, 0, 0, 0]
sə,[+, -, +, +, -, -, -, -, -, -, 0, 0, 0, 0]
vʰʲ,[+, -, +, +, -, -, -, +, 0, +, +, -, +, +]
ka,[+, -, -, -, -, -, -, -, 0, +, +, -, -, -]
pʰə,[+, -, -, -, -, -, -, +, 0, -, 0, 0, 0, 0]
əy,[-, +, +, 0, +, -, -, -, 0, +, -, -, -, -]
kɐj,[+, -, -, -, -, -, -, -, 0, +, +, -, -, -]
uət,[-, +, +, 0, +, -, -, +, 0, +, +, -, -, +]
iːː,[-, +, +, 0, +, -, -, -, 0, +, +, -, +, -]
ɡʷe,[+, -, -, -, -, -, -, +, 0, +, +, -, -, -]
cɔ,[+, -, -, -, -, -, -, -, +, +, +, -, +, -]
ᶑ,[+, -, -, -, -, -, -, -, -, -, 0, 0, 0, 0]
ɛ̃,[-, +, +, 0, +, -, -, -, 0, +, -, -, +, -]
ŋkɔ,[+, +, -, -, -, -, -, -, 0, +, +, -, -, -]
tθʰ,[+, -, -, +, -, -, -, -, +, -, 0, 0, 0, 0]
œ,[-, +, +, 0, +, -, -, +, 0, +, -, -, +, -]
io,[-, +, +, 0, +, -, -, -, 0, +, +, -, +, -]
s~z,[+, -, +, +, -, -, -, -, -, -, 0, 0, 0, 0]
ɛo,[-, +, +, 0, +, -, -, -, 0, +, -, -, +, -]
nn̥,[+, +, -, 0, -, -, -, -, -, -, 0, 0, 0, 0]
ɖɔ,[+, -, -, -, -, -, -, -, -, -, 0, 0, 0, 0]
ɗiˑ,[+, -, -, -, -, -, -, -, -, -, 0, 0, 0, 0]
z,[+, -, +, +, -, -, -, -, -, -, 0, 0, 0, 0]
çʷi,[+, -, +, +, -, -, -, +, +, +, +, -, +, -]
sɔ,[+, -, +, +, -, -, -, -, -, -, 0, 0, 0, 0]
bʱa,[+, -, -, -, -, -, -, +, 0, -, 0, 0, 0, 0]
kʰ~k,[+, -, -, -, -, -, -, -, 0, +, +, -, -, -]
ʜ~ħ,[+, -, +, +, -, -, -, -, 0, +, -, +, -, +]
rɔː,[+, +, +, 0, +, +, -, -, -, -, 0, 0, 0, 0]
ṷa,[-, +, +, 0, +, -, -, +, 0, +, +, -, -, +]
é,[-, +, +, 0, +, -, -, -, 0, +, -, -, +, -]
s~k,[+, -, -, -, -, -, -, -, 0, +, +, -, -, -]
o(ː),[-, +, +, 0, +, -, -, +, 0, +, -, -, -, +]
kiː,[+, -, -, -, -, -, -, -, 0, +, +, -, -, -]
s~ʃ,[+, -, +, +, -, -, -, -, +, -, 0, 0, 0, 0]
eu,[-, +, +, 0, +, -, -, -, 0, +, -, -, +, -]
θ~s,[+, -, +, +, -, -, -, -, -, -, 0, 0, 0, 0]
p',[+, -, -, -, -, -, -, +, 0, -, 0, 0, 0, 0]
keˑ,[+, -, -, -, -, -, -, -, 0, +, +, -, -, -]
me,[+, +, -, 0, -, -, -, +, 0, -, 0, 0, 0, 0]
ɛ,[-, +, +, 0, +, -, -, -, 0, +, -, -, +, -]
ɓʰ,[+, -, -, -, -, -, -, +, 0, -, 0, 0, 0, 0]
hə,[-, -, +, +, -, -, -, -, 0, -, 0, 0, 0, 0]
ɬa,[+, +, +, 0, +, -, +, -, -, +, -, -, -, +]
ɯt,[-, +, +, 0, +, -, -, -, 0, +, +, -, -, +]
fiˑ,[+, -, +, +, -, -, -, +, 0, -, 0, 0, 0, 0]
uəp,[-, +, +, 0, +, -, -, +, 0, +, +, -, -, +]
wˁ,[-, +, +, 0, +, -, -, +, 0, +, +, -, -, +]
ðal,[+, -, +, +, -, -, -, -, +, -, 0, 0, 0, 0]
ʊ~u,[-, +, +, 0, +, -, -, +, 0, +, +, -, -, +]
ó,[-, +, +, 0, +, -, -, +, 0, +, -, -, -, +]
lɔ,[+, +, +, 0, +, -, +, -, -, -, 0, 0, 0, 0]
Ø~t,[+, -, -, -, -, -, -, -, -, -, 0, 0, 0, 0]
ja:,[-, +, +, 0, +, -, -, -, 0, +, +, -, +, -]
mi,[+, +, -, 0, -, -, -, +, 0, -, 0, 0, 0, 0]
a~ɑ,[-, +, +, 0, +, -, -, -, 0, +, -, +, -, +]
bo,[+, -, -, -, -, -, -, +, 0, -, 0, 0, 0, 0]
k*,[+, -, -, -, -, -, -, -, 0, +, +, -, -, -]
laː,[+, +, +, 0, +, -, +, -, -, -, 0, 0, 0, 0]
tu,[+, -, -, -, -, -, -, -, -, -, 0, 0, 0, 0]
aˤː,[-, +, +, 0, +, -, -, -, 0, +, -, +, -, -]
há,[-, -, +, +, -, -, -, -, 0, -, 0, 0, 0, 0]
pʰa,[+, -, -, -, -, -, -, +, 0, -, 0, 0, 0, 0]
tʰ,[+, -, -, -, -, -, -, -, -, -, 0, 0, 0, 0]
ħaˑ,[+, -, +, +, -, -, -, -, 0, +, -, +, -, +]
ɟɔ,[-, +, +, 0, +, -, -, -, 0, +, +, -, +, -]
o;u,[-, +, +, 0, +, -, -, +, 0, +, +, -, -, +]
aṷ,[-, +, +, 0, +, -, -, -, 0, +, -, +, -, -]
Ø,[-, +, +, 0, +, -, -, +, 0, +, -, -, +, -]
jy,[-, +, +, 0, +, -, -, -, 0, +, +, -, +, -]
t~tʃ,[+, -, -, +, -, -, -, -, +, -, 0, 0, 0, 0]
ɖ,[+, -, -, -, -, -, -, -, -, -, 0, 0, 0, 0]
peː,[+, -, -, -, -, -, -, +, 0, -, 0, 0, 0, 0]
ˉoː,[-, +, +, 0, +, -, -, +, 0, +, -, -, -, +]
deˑ,[+, -, -, -, -, -, -, -, -, -, 0, 0, 0, 0]
ru,[+, +, +, 0, +, +, -, -, -, -, 0, 0, 0, 0]
æ,[-, +, +, 0, +, -, -, -, 0, +, -, +, +, -]
mɔ,[+, +, -, 0, -, -, -, +, 0, -, 0, 0, 0, 0]
au,[-, +, +, 0, +, -, -, -, 0, +, -, +, -, -]
œi,[-, +, +, 0, +, -, -, +, 0, +, -, -, +, -]
ɑ:,[-, +, +, 0, +, -, -, -, 0, +, -, +, -, +]
ɦa,[-, -, +, +, -, -, -, -, 0, -, 0, 0, 0, 0]
ba,[+, -, -, -, -, -, -, +, 0, -, 0, 0, 0, 0]
aw,[-, +, +, 0, +, -, -, -, 0, +, -, +, -, -]
ẕˁ,[+, -, +, +, -, -, -, -, -, -, 0, 0, 0, 0]
əi,[-, +, +, 0, +, -, -, -, 0, +, -, -, -, -]
zá,[+, -, +, +, -, -, -, -, -, -, 0, 0, 0, 0]
ɔi̭,[-, +, +, 0, +, -, -, +, 0, +, -, -, -, +]
ho,[-, -, +, +, -, -, -, -, 0, -, 0, 0, 0, 0]
iŋ,[-, +, +, 0, +, -, -, -, 0, +, +, -, +, -]
tɔː,[+, -, -, -, -, -, -, -, -, -, 0, 0, 0, 0]
cʰ,[+, -, -, -, -, -, -, -, +, +, +, -, +, -]
om,[-, +, +, 0, +, -, -, +, 0, +, -, -, -, +]
ɖa,[+, -, -, -, -, -, -, -, -, -, 0, 0, 0, 0]
i̭a,[-, +, +, 0, +, -, -, -, 0, +, +, -, +, -]
hʷ,[-, -, +, +, -, -, -, +, 0, -, 0, 0, 0, 0]
ŋə,[+, +, -, 0, -, -, -, -, 0, +, +, -, -, -]
qʼ,[+, -, -, -, -, -, -, -, 0, +, -, -, -, +]
ɯk,[-, +, +, 0, +, -, -, -, 0, +, +, -, -, +]
ɔi,[-, +, +, 0, +, -, -, +, 0, +, -, -, -, +]
uoŋ,[-, +, +, 0, +, -, -, +, 0, +, +, -, -, +]
kʲʼ,[+, -, -, -, -, -, -, -, 0, +, +, -, +, +]
mpɔ,[+, +, -, -, -, -, -, +, 0, -, 0, 0, 0, 0]
mm̥,[+, +, -, 0, -, -, -, +, 0, -, 0, 0, 0, 0]
eː,[-, +, +, 0, +, -, -, -, 0, +, -, -, +, -]
kɔ,[+, -, -, -, -, -, -, -, 0, +, +, -, -, -]
ow,[-, +, +, 0, +, -, -, +, 0, +, -, -, -, +]
ɔu,[-, +, +, 0, +, -, -, +, 0, +, -, -, -, +]
d~ð,[+, -, +, +, -, -, -, -, +, -, 0, 0, 0, 0]
n̥,[+, +, -, 0, -, -, -, -, -, -, 0, 0, 0, 0]
tiˑ,[+, -, -, -, -, -, -, -, -, -, 0, 0, 0, 0]
jaˑ,[-, +, +, 0, +, -, -, -, 0, +, +, -, +, -]
kw,[+, -, -, -, -, -, -, +, 0, +, +, -, -, -]
oj,[-, +, +, 0, +, -, -, +, 0, +, -, -, -, +]
ʁeˑ,[+, -, +, +, -, -, -, -, 0, +, -, -, -, +]
e(ː),[-, +, +, 0, +, -, -, -, 0, +, -, -, +, -]
ki,[+, -, -, -, -, -, -, -, 0, +, +, -, -, -]
k',[+, -, -, -, -, -, -, -, 0, +, +, -, -, -]
aĭ,[-, +, +, 0, +, -, -, -, 0, +, -, +, -, -]
na,[+, +, -, 0, -, -, -, -, -, -, 0, 0, 0, 0]
ll,[+, +, +, 0, +, -, +, -, -, -, 0, 0, 0, 0]
e~ɛ,[-, +, +, 0, +, -, -, -, 0, +, -, -, +, -]
s;ɕ,[+, -, +, +, -, -, -, -, +, +, +, -, +, -]
ʒ,[+, -, +, +, -, -, -, -, +, -, 0, 0, 0, 0]
mp,[+, +, -, -, -, -, -, +, 0, -, 0, 0, 0, 0]
ɔɛ,[-, +, +, 0, +, -, -, +, 0, +, -, -, -, +]
t͡θ,[+, -, -, +, -, -, -, -, +, -, 0, 0, 0, 0]
veˑ,[+, -, +, +, -, -, -, +, 0, -, 0, 0, 0, 0]
æˑ,[-, +, +, 0, +, -, -, -, 0, +, -, +, +, -]
ɠiˑ,[+, -, -, -, -, -, -, -, 0, +, +, -, -, -]
çi,[+, -, +, +, -, -, -, -, +, +, +, -, +, -]
seː,[+, -, +, +, -, -, -, -, -, -, 0, 0, 0, 0]
