A, [a]
E, [ɛ]
K, [k]
Ndr, [ⁿdr]
R, [r]
Y, [j]
´, [´]
Ạ, [ə]
F, [f]
Kp, [kp]
Ng, [ᵑɡ]
S, [s]
’Y, [ˀj]
^, [¯]
B, [b]
G, [g]
L, [l]
Ngb, [ᵑᵐɡb]
T, [t]
Z, [z]
˜, [`]
’B, [ɓ]
Gb, [gb]
M, [m]
Nj, [ⁿdz]
Tr, [tr]
’, [ʔ]
´˜, [^]
C, [ts]
H, [h]
Mb, [ᵐb]
Ny, [ɲ]
U, [u]
˜^, [ˇ]
D, [d]
I, [ɪ]
Mv, [ᶬv]
Ŋ, [ŋ]
V, [v]
Dr, [dr]
Ị, [i]
N, [n]
O, [ɔ]
W, [w]
’D, [ɗ]
J, [dz]
Nd, [ⁿd]
P, [p]
’W, [ˀw]
