خ, [x]
ﺽ, [z]
ڴ, [ŋ]
یَ, [jɑ]
ﺡ, [h]
ﺹ, [s]
گ, [ɟ]
ێ, [e]
چ, [ʧ]
ش, [ʃ]
ک, [k]
ۆ, [œ]
ج, [ʤ]
س, [s]
ق, [g]
ى, [j/ɪ/ɯ]
ﺙ, [s]
ژ, [ʒ]
ف, [f]
ه, [h]
ﺀ, [t]
ز, [z]
غ, [ɣ]
و, [v/ɔ/œ/u/y]
یۆ, [jɔ]
پ, [p]
ر, [r]
ع, [æ/Ø]
ن, [n]
یع, [e]
ب, [b]
ﺫ, [z]
ﻅ, [z]
م, [m]
یێ, [je]
آ\ا, [ɑ/æ/ɔ/Ø]
د, [d]
ﻁ, [t]
ل, [l]
یُ, [ju]
