A, [a]
J, [ˈʒɔtɐ]
S, [ˈɛs(i)]
dj,  [ʤ]
B, [be]
K, [ˈkapɐ]
T, [te]
lh, [ʎ]
C, [se]
L, [ˈɛl(i)]
U, [u]
nh, [ɲ]
D, [de]
M, [ˈɛm(i)]
V, [ve]
tx, [ʧ]
E, [ɛ]
N, [ˈɛn(i)]
W, [ˈdɐbliu]
F, [ɛf(i)]
O, [ɔ]
X, [ʃiz]
G, [ʒe]
P, [pe]
Y, [ˈipsilɔn]
H, [ɐˈɡa]
Q, [ke]
Z,  [ze]
I, [i]
R, [ˈɛr(i)] 
Cape, Cape Verdean Creole
