a, [a]
b, [b]
l, [l]
sy, [ʃ]
e, [ɛ/ə/e]
c, [tʃ]
m, [m]
t, [t]
i, [i]
d, [d]
n, [n]
v, [f]
o, [o/ɔ]
f,  [p]
ny, [ɲ]
w, [w]
u, [u]
g, [g]
ng, [ŋ]
x, [ks]
ai, [ai]
h, [h]
p, [p]
y, [j]
au, [au]
j, [ʥ]
q, [k]
z, [z]
oi, [oɪ]
k,  [k]
r, [r]
kh,  [x]
s, [s]
