A, [a]
Gb, [gb]
’L, [ˀl]
R, [r]
Ƴ, [ˀj]
B, [b]
H, [h]
M, [m]
S, [s]
Z, [z]
Ɓ, [ɓ]
’H, [ɦ]
N, [n]
T, [t]
’, [ʔ]
C, [c]
I, [i]
Ny, [ɲ]
U, [u]
D, [d]
Ɩ, [ɪ]
Ŋ, [ŋ]
Ʋ, [ʊ]
E, [e]
J, [ɟ]
Ŋm, [ŋm]
V, [v]
Ɛ, [ɛ]
K, [k]
O, [o]
W, [w]
F, [f]
Kp, [kp]
Ɔ, [ɔ]
’W, [ˀw]
G, [g]
L, [l]
P, [p]
Y, [j]
