A,a
Gb,NA
R,r
B,b
H,h
M,m
S,s
Z,z
Ɓ,ɓ
N,n
T,t
’,ʔ
C,c
I,i
U,u
D,d
Ŋ,ŋ
E,e
Ŋm,ŋm
V,v
Ɛ,ɛ
K,k
O,o
W,w
F,f
Kp,kp
Ɔ,ɔ
G,g
L,l
P,p
Y,j
