A, [ɑ]
Gh, [ɣ]
N, [n]
Ts, [ts]
B, [b]
H, [h]
Ny, [ɲ]
U, [u]
Ch, [tʃ]
I, [i]
Ŋ, [ŋ]
Ʉ, [ʉ]
D, [d]
Ɨ, [ɨ]
O, [o]
W, [w~ɥ]
E, [e]
J, [dʒ~ʒ]
Ɔ, [ɔ]
Y, [j]
Ɛ, [ɛ]
K, [k]
P, [p]
Z, [dz~z]
Ə, [ǝ]
’, [ʔ]
S, [s]
F, [f]
L, [l~ɾ]
Sh, [ʃ]
G, [g]
M, [m]
T, [t]
