A, [a]
M, [m]
T, [t]
Aa, [aː]
N, [n]
Th, [tʰ]
Ch, [tʃ]
Ñ, [ɲ]
Ts, [tsʰ]
E, [e]
O, [o]
Ty, [c]
Ee, [eː]
Oo, [oː]
Tz, [ts]
I, [i]
P, [p]
W, [w]
Ii, [iː]
R, [r~ɾ]
Y, [j]
J, [h]
S, [s]
K, [k]
Sh, [ʃ]
