hànyŭ, [p]
j, [tɕ]
p, [pʰ]
q, [tɕʰ]
m, [m]
x, [ɕ]
f, [f]
zh, [tʂ]
d, [t]
ch, [tʂʰ]
t, [tʰ]
sh, [ʂ]
n, [n]
r, [ɻ/ʐ]
l, [l]
z,  [ts]
g, [k]
c, [tsʰ]
k, [kʰ]
s, [s]
h, [x]
