А, [a/æ]
Ё, [œ/jo]
М, [m]
У, [u]
ъ, [j]
Б, [b]
Ж, [ʒ]
Н,  [n]
Ў, [y]
Ы, [ɨ]
В, [v]
З, [z]
Нг,  [ŋ]
Ф, [f]
Ь, [ʲ]
Г, [g]
И, [i]
О, [o]
Х, [h/x]
Э, [e/æ]
Гъ, [ʁ]
Й, Й й
къысха, [p]
Цц, [ʦ]
Ю, [y/ju]
Д, [d]
К,  [k/kʲ]
Р, [r]
Ч, [ʧ]
Я, [æ/ja]
Дж, [ʤ]
Къ,  [q]
С, [s]
Ш, [ʃ]
Е, [e/je]
Л, [l]
Т, [t]
Щ, [ʃ]
