𑳀,a
𑳁,k
𑳋,tʰ
𑳕,z
𑳟,a:
𑳂,kʰ
𑳌,d
𑳖,j
𑳃,g
𑳍,n
r,r
,u
𑳎,p
𑳘,l
𑳢,o
𑳏,pʰ
𑳙,ʃ
𑳣,dʒ
𑳐,b
𑳚,s
𑳑,m
𑳛,h
𑳈,ɖ
𑳒,ts
𑳜,q
𑳓,tsʰ
𑳝,x
