A, [a]
I, [i]
Ng’, [ŋg]
T, [t]
B, [b]
K, [k]
Ny, [ɲ]
U, [u]
Ch, [ʧ]
L, [l]
Nj, [ɲɟ]
V, [ʋ]
D, [d]
M, [m]
O, [o]
W, [w]
E, [e]
Mb, [mb]
P, [p]
Y, [y]
F, [f]
N, [n]
R, [r]
G, [g]
Nd, [nd]
S, [s]
H, [h]
Ng, [ŋ]
Sh, [ʃ]
