a, [æ/ɑ]
ch, [ʧ]
p, [p]
i, [ɪ/ɛ]
h, [h]
q, [χ]
u, [ʊ/ɔ]
k, [k]
r, [r]
l, [l]
s, [s]
ll, [ʎ]
t, [t]
m, [m]
w, [w]
n, [n]
y, [j]
ñ, [ɲ]
