a, [ɐ]
f, [f]
mmw, [mˠː]
ch, [tʂ]
á, [a]
ff, [fː]
n, [n̪]
t, [t̪]
e, [e]
s, [s]
ng, [ŋ]
tt, [t̪͈ː]
é, [ɘ]
ss, [sː]
nng, [ŋː]
w, [w]
i, [i]
k, [k͈]
p, [p]
y, [j]
o, [o]
kk, [k͈ː]
pp, [p̎ː]
ó, [ɑ]
m, [m]
pw, [.p~b]
u, [u]
mm, [mː]
ppw, [.p̎ː]
ú, [ɨ]
mw, [mˠ]
r, [ɾ/r]
