A, [a]
N, [n]
U, [u]
E, [e]
Ng, [ŋ]
V, [β]
H, [h]
O, [o]
V̈, [ð̼]
I, [i]
P, [p]
J, [t͡ʃ]
P̈, [t̼]
K, [k]
R, [ɾ]
L, [l]
R̄, [r]
M, [m]
S, [s]
M̈, [n̼]
T, [t]
