A, [a]
I, [i]
S, [s]
ɗy, [ʄ̵]
mb, [b]
K,  [k]
T, [t]
dj, [ɓ]
L, [l]
U, [u]
dh, [d]
M, [m]
V, [v]
dhw, [ɗ]
N, [n]
W, [w]
dr, [e]
N̈, [ŋ]
Y, [j]
dw, [f]
O, [o]
Z, [z]
dz, [g]
P, [p]
nd, [β]
H, [h]
R, [r]
ndj, ny
